品种,趋势强度,日期,文件名
橡胶,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
合成橡胶,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
沥青,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
LLDPE,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
PP,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
烧碱,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
纸浆,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
甲醇,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
尿素,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
苯乙烯,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
纯碱,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
LPG,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
PVC,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
燃料油,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
低硫燃料油,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
集运指数（欧线）,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
短纤,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
瓶片,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
双胶纸,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
纯苯,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
棕榈油,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
豆油,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
豆粕,1,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
豆一,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
玉米,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
白糖,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
棉花,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
花生,0,2025-07-21,11_国泰君安期货_[合集]_R3_晨报_20250721.pdf
黄金,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
白银,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
铜,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
锌,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
铅,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
锡,-1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
铝,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
氧化铝,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
铝合金,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
镍,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
不锈钢,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
碳酸锂,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
工业硅,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
多晶硅,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
铁矿石,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
螺纹钢,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
热轧卷板,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
硅铁,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
锰硅,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
焦炭,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
焦煤,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
动力煤,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
原木,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
对二甲苯,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
PTA,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
MEG,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
橡胶,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
合成橡胶,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
沥青,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
LLDPE,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
PP,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
烧碱,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
纸浆,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
甲醇,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
尿素,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
苯乙烯,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
纯碱,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
LPG,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
PVC,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
燃料油,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
低硫燃料油,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
集运指数（欧线）,-1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
短纤,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
瓶片,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
双胶纸,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
纯苯,1,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
棕榈油,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
豆油,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
豆粕,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
豆一,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
玉米,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
白糖,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
棉花,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
花生,0,2025-07-22,11_国泰君安期货_[合集]_R3_晨报_20250722.pdf
黄金,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
白银,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
铜,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
锌,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
铅,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
锡,-1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
铝,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
氧化铝,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
铝合金,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
镍,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
不锈钢,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
碳酸锂,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
工业硅,2,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
多晶硅,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
铁矿石,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
螺纹钢,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
热轧卷板,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
硅铁,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
锰硅,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
焦炭,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
焦煤,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
动力煤,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
原木,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
对二甲苯,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
PTA,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
MEG,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
橡胶,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
合成橡胶,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
沥青,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
LLDPE,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
PP,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
烧碱,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
纸浆,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
甲醇,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
尿素,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
苯乙烯,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
纯碱,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
LPG,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
PVC,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
燃料油,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
低硫燃料油,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
集运指数（欧线）,-1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
短纤,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
瓶片,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
双胶纸,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
纯苯,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
棕榈油,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
豆油,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
豆粕,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
豆一,1,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
玉米,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
白糖,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
棉花,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
花生,0,2025-07-23,11_国泰君安期货_[合集]_R3_晨报_20250723.pdf
黄金,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
白银,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
铜,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
锌,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
铅,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
锡,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
铝,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
氧化铝,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
铝合金,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
镍,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
不锈钢,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
碳酸锂,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
工业硅,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
多晶硅,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
铁矿石,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
螺纹钢,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
热轧卷板,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
硅铁,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
锰硅,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
焦炭,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
焦煤,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
动力煤,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
原木,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
对二甲苯,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
PTA,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
MEG,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
橡胶,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
合成橡胶,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
沥青,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
LLDPE,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
PP,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
烧碱,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
纸浆,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
甲醇,1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
尿素,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
苯乙烯,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
纯碱,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
LPG,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
PVC,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
燃料油,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
低硫燃料油,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
集运指数（欧线）,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
短纤,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
瓶片,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
双胶纸,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
纯苯,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
棕榈油,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
豆油,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
豆粕,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
豆一,-1,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
玉米,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
白糖,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
棉花,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
花生,0,2025-07-24,11_国泰君安期货_[合集]_R3_晨报_20250724.pdf
黄金,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
白银,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
铜,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
锌,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
铅,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
锡,-1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
铝,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
氧化铝,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
铝合金,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
镍,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
不锈钢,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
碳酸锂,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
工业硅,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
多晶硅,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
铁矿石,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
螺纹钢,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
热轧卷板,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
硅铁,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
锰硅,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
焦炭,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
焦煤,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
动力煤,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
原木,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
对二甲苯,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
PTA,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
MEG,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
橡胶,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
合成橡胶,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
沥青,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
LLDPE,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
PP,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
烧碱,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
纸浆,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
甲醇,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
尿素,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
苯乙烯,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
纯碱,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
LPG,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
PVC,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
燃料油,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
低硫燃料油,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
集运指数（欧线）,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
短纤,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
瓶片,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
双胶纸,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
纯苯,1,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
棕榈油,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
豆油,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
豆粕,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
豆一,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
玉米,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
白糖,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
棉花,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
花生,0,2025-07-25,11_国泰君安期货_[合集]_R3_晨报_20250725.pdf
黄金,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
白银,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
铜,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
锌,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
铅,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
锡,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
铝,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
氧化铝,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
铝合金,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
镍,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
不锈钢,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
碳酸锂,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
工业硅,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
多晶硅,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
铁矿石,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
螺纹钢,1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
热轧卷板,1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
硅铁,1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
锰硅,1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
焦炭,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
焦煤,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
动力煤,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
原木,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
对二甲苯,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
PTA,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
MEG,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
橡胶,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
合成橡胶,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
沥青,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
LLDPE,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
PP,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
烧碱,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
纸浆,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
甲醇,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
尿素,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
苯乙烯,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
纯碱,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
LPG,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
PVC,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
燃料油,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
低硫燃料油,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
集运指数（欧线）,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
短纤,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
瓶片,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
双胶纸,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
纯苯,-1,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
棕榈油,0,2025-07-28,11_国泰君安期货_[合集]_R3_晨报_20250728.pdf
